Training file read
Movie User Rating Prediction
8 573364  1.0 3.088410711927952
4640 2076954  4.0 3.8498162815849257
4640 24600  3.0 3.7712722804474494
4640 927286  3.0 3.313953359012702
4640 56298  4.0 3.898971283723397
4640 1551094  5.0 4.390772712454969
4640 1228066  5.0 4.263462715238478
4640 204164  5.0 3.617899217204948
4640 54333  4.0 3.9234181089471205
4640 2004076  3.0 3.8854277838221325
4640 1828001  5.0 3.814614851627348
4640 369542  3.0 3.8518191781073976
4640 2226098  3.0 4.734013742368049
4640 1083131  3.0 4.148341239238374
4640 735560  5.0 4.7816659268674675
4640 1337310  5.0 3.9644587100784134
4640 2188949  4.0 4.201700613772855
4640 481980  4.0 3.263452185167206
4640 1860860  4.0 3.6724293992007846
4640 973443  3.0 3.2538902080673044
4640 2405303  4.0 4.159186972078084
4640 602861  5.0 3.730145370415655
4640 675616  4.0 3.3351404879382165
4640 2440605  4.0 4.163362395613279
4640 660096  4.0 3.210179426790547
4640 2469575  5.0 4.665337382865953
4640 1425530  3.0 3.934620740823951
4640 1209122  5.0 4.523456533723015
4640 1263008  3.0 3.7337376623008756
4640 1817033  4.0 3.766002635712203
4640 501420  4.0 4.0065412548528645
4640 2129864  3.0 3.361117794067433
4640 1047039  4.0 3.868591071001597
4640 2108491  4.0 4.046430278692035
4640 507603  3.0 1.7916099134965706
4640 300026  4.0 3.5460558583820037
4640 1207618  3.0 3.512839784929454
4640 2251815  4.0 3.6603105487729306
4640 2382060  3.0 3.336237949099107
4640 1979083  5.0 3.5209031205842574
4640 1417392  4.0 4.01977778922074
4640 1327129  5.0 3.8818235360467312
4640 1242336  4.0 3.3080309828297905
4640 2415495  4.0 3.3840754566212974
4640 1476822  4.0 3.8199268079902176
4640 2390221  5.0 4.469228386815338
4640 1784950  3.0 3.716622474179253
4640 2392623  5.0 4.552991545845107
4640 577350  4.0 3.7927974139700495
4640 139220  3.0 4.179779030340427
4640 874797  4.0 4.023241524837846
4640 1948838  5.0 3.64865788160112
4640 2219225  4.0 4.182759022107812
4640 2260832  1.0 2.7451801402733276
4640 559119  5.0 3.9296905544161067
4640 793113  4.0 4.428215138074053
4640 86275  4.0 4.153981716701312
4640 1637683  3.0 3.6154475513924087
4640 1154641  4.0 4.026672206673059
4640 2032107  4.0 3.8897960812650574
4640 1555813  4.0 4.166041025215344
4640 1800955  4.0 3.916065406718623
4640 2421772  5.0 4.274420772782686
4640 1204497  5.0 4.607831105724797
4640 902787  5.0 4.351281011286518
4640 157667  2.0 2.4431947285937685
4640 323798  5.0 4.2143103076913695
4640 959675  4.0 3.90619667171974
4640 2175999  4.0 3.7203037187666324
4640 1072072  2.0 3.1143935779098384
4640 1032165  4.0 4.004127136145414
4640 908903  3.0 4.097651054616965
4640 2028524  5.0 4.428459274290521
4640 685508  5.0 4.6353315556803265
4640 1611377  5.0 3.4632333991896793
4640 26258  4.0 3.690968920411561
4640 9557  2.0 3.437306028588609
4640 124564  4.0 3.3748511127407714
4640 1041749  5.0 4.549507734395969
4640 1769608  4.0 3.45972083659242
4640 1280428  4.0 3.4563425844975098
4640 170487  4.0 3.5753040359262163
4640 1544026  3.0 3.4889725952450856
4640 979468  4.0 4.106710492824395
4640 72036  4.0 4.280610647722498
4640 312903  5.0 4.205995901271065
4640 285975  5.0 5.253753740180768
4640 830932  3.0 3.3972314534058863
4640 2180134  3.0 3.9387733255543633
4640 1258560  1.0 3.4280991501342477
4640 1810064  4.0 3.5634989488842472
4640 1361124  4.0 3.523322824138524
4640 790459  4.0 3.8984632199631664
4640 569301  4.0 3.8014350428200783
4640 461949  3.0 3.6896605475525135
4640 1025008  5.0 4.836369255490808
4640 1642678  5.0 4.05661631467613
4640 612384  3.0 3.8963979466374044
4640 1952339  4.0 4.249989013375915
4640 1731888  5.0 5.1644952922302645
4640 1354427  4.0 3.7613025251146883
4640 87014  4.0 3.8877448515729016
4640 1979935  4.0 3.614019412488388
4640 476098  4.0 3.974595425757979
4640 347827  3.0 4.277535815910178
4640 1400378  5.0 4.72529230169061
4640 228194  3.0 3.861271664931815
4640 1045886  1.0 4.144331892646666
4640 235056  3.0 3.944835002768979
4640 1214135  4.0 3.9304788577433767
4640 594196  5.0 4.342449057183877
4640 2288027  4.0 3.8369992515117426
4640 220334  5.0 3.579816451595259
4640 2260332  4.0 3.8402746421040623
4640 761595  3.0 3.742751877879494
4640 1511466  3.0 3.406226008422268
4640 2355625  4.0 3.572195161298045
4640 754866  4.0 4.306752055935485
4640 1490642  4.0 3.523364825683964
4640 2520193  4.0 4.159834468504626
4640 2246066  3.0 3.7449724120611463
4640 1794535  4.0 4.285535890704336
4640 1234452  5.0 4.407323096141374
4640 1293174  5.0 4.243767387711019
4640 1784723  4.0 3.4257044850193417
4640 864068  4.0 4.195938147609441
4640 527898  4.0 3.6732618783165947
4640 993550  4.0 3.6638429873983314
4640 1040259  5.0 3.918006494127439
4640 722678  5.0 4.728599346099722
4640 2644249  5.0 4.440043204484459
4640 251595  4.0 4.754204381332363
4640 1180559  4.0 4.47531861843202
4640 2036646  5.0 3.7040331435923215
4640 1887601  5.0 3.8615007428078103
4640 1871161  3.0 3.475719069548194
4640 1623594  3.0 3.9552518232906895
4640 1876500  5.0 3.8342923842824703
4640 988097  4.0 4.190717071062872
4640 882483  4.0 4.838883847988575
4640 230866  5.0 3.941442252945977
4640 693527  5.0 3.7937724257916066
4640 1756407  4.0 4.231573384724803
4640 828349  5.0 3.7633512579703874
4640 1816622  4.0 3.99471461598698
4640 1952121  4.0 4.012007964139271
4640 605616  5.0 4.293345330900787
4640 265043  3.0 4.181845165940603
4640 2468476  3.0 3.9194859341221604
4640 2382844  5.0 4.223682429954759
4640 2550095  3.0 3.0446409949593565
4640 1293458  5.0 4.185017014405047
4640 1327342  4.0 4.146106479757139
4640 465497  3.0 3.7047539469020783
4640 1153770  5.0 4.2439475087125675
4640 577885  4.0 3.9768880665140696
4640 1379133  5.0 4.700403349526215
4640 2194166  5.0 4.1413240662902195
4640 787598  3.0 3.2691573173369033
4640 2019240  4.0 3.6695907386572064
4640 1253002  5.0 4.073591740587334
4640 2186084  4.0 4.140927722243929
4640 354582  5.0 4.572836850650095
4640 1561553  5.0 3.7093506793319078
4640 1245222  4.0 4.459094481557062
4640 376589  4.0 4.084215853068568
4640 1037713  4.0 3.804411448377918
4640 2437021  5.0 4.62645106230089
4640 1682053  4.0 4.320730911218708
4640 613805  5.0 4.17871599173896
4640 417898  5.0 3.713038518379887
4640 2141429  4.0 3.7662196692681755
4640 2566795  5.0 3.609104877124505
4640 1964597  5.0 4.508268975736394
4640 1523169  4.0 3.945321717949854
4640 1744702  3.0 3.772341028595582
4640 1107635  3.0 3.591294385944785
4640 1508393  4.0 4.044838362918281
4640 549262  5.0 3.945395491874147
4640 685565  5.0 4.8325423311441
4640 52138  4.0 3.7184501627770286
4640 2010849  5.0 4.2947388116013565
4640 1015615  3.0 3.6977081230990323
4640 2269419  4.0 4.113001918190446
4640 1512466  3.0 3.914367749936591
4640 387106  4.0 3.8866800481598394
4640 2580072  3.0 4.010055101009236
4640 753567  4.0 3.5889248674738385
4640 1655662  4.0 3.7573607579208863
4640 1934386  5.0 3.8698007542330597
4640 962188  3.0 3.573815719119098
4640 295485  5.0 3.4070563166108885
4640 159266  4.0 4.088764277596073
4640 350856  4.0 3.791367514660717
4640 871574  4.0 4.111666258993742
4640 713391  5.0 4.646792531717726
4640 203421  3.0 3.7460858532231778
4640 222025  3.0 3.5650552130111053
4640 2228240  5.0 4.09120582974378
4640 835271  5.0 4.1232419707689925
4640 1097064  5.0 4.22328065389464
4640 4421  4.0 3.883428241054327
4640 1093720  5.0 3.591929671745704
4640 2300261  5.0 3.563234124893396
4640 658890  3.0 4.0214491396142895
4640 842789  3.0 4.438017515023832
4640 1549954  5.0 3.4946990145122423
4640 872341  3.0 3.793468043731065
4640 588956  4.0 5.012986408786674
4640 618551  4.0 3.856739605173407
4640 1822357  4.0 3.2697354391536617
4640 919245  5.0 4.054420975867739
4640 1559083  3.0 3.626081389943323
4640 1935654  5.0 4.063460731543003
4640 1472303  4.0 4.115661993634298
4640 1118746  3.0 3.7137082331644367
4640 1336791  4.0 4.3042269343801545
4640 1072294  5.0 3.9629035314623318
4640 1022711  4.0 3.42439277839556
4640 1215796  3.0 3.4889901190136055
4640 1433935  4.0 4.143008239908228
4640 2507378  3.0 3.7625770022624834
4640 1568758  4.0 4.495703762734501
4640 1811650  5.0 3.541606580539074
4640 533352  5.0 4.3168807578722275
4640 2447368  5.0 3.867335839315889
4640 1641072  3.0 3.3295198047526573
4640 499293  4.0 4.093136415636044
4640 516276  4.0 3.825011972912089
4640 1094010  5.0 4.2767696083709374
4640 1353371  5.0 4.402605635218721
4640 884300  3.0 3.772356865843115
4640 2310461  3.0 3.4062078131561173
4640 1335559  4.0 4.01036445987139
4640 1300036  4.0 3.2248725637997695
4640 2292354  3.0 3.5064898100779924
4640 472083  5.0 3.960698236099778
4640 730961  4.0 4.109913397481882
4640 1825620  4.0 4.323650030817822
4640 656593  4.0 3.5079556770385105
4640 1945693  4.0 4.18063464215017
4640 806045  5.0 4.069483485707637
4640 520507  5.0 3.1802299560434997
4640 1725453  3.0 3.860431574086958
4640 2548287  4.0 4.051146445837104
4640 2201029  5.0 4.173874575851929
4640 1314409  4.0 3.734161819099733
4640 831839  5.0 3.26211900743079
4640 1753194  3.0 3.363821278689964
4640 521074  4.0 3.948868020754868
4640 1057247  4.0 3.6930417653914684
4640 2562900  5.0 4.456220993758141
4640 2591450  4.0 4.461025699776545
4640 1648640  5.0 3.5108565989047333
4640 204504  5.0 4.976388895869067
4640 1054695  5.0 3.764681985309094
4640 210822  4.0 4.328974389501553
4640 2526662  5.0 4.152703837005374
4640 515459  4.0 4.27033068219818
4640 1227936  5.0 4.654628482064145
4640 2483683  4.0 3.808059634012303
4640 1618998  5.0 3.473834150864441
4640 1338011  4.0 4.196352027234354
4640 238705  4.0 4.129567874764306
4640 519699  5.0 4.999362077669172
4640 731941  5.0 4.17859941023507
4640 2076250  4.0 3.941373399026762
4640 2263064  3.0 3.7092399684634136
4640 1620733  3.0 3.3552507894324806
4640 1130969  5.0 4.056207376519486
4640 640455  4.0 4.304918615512102
4640 101722  3.0 3.3647000437647683
4640 1706645  1.0 3.117039167235209
4640 153500  4.0 3.6837090346773316
4640 2501054  3.0 3.8320386504607717
4640 1459464  5.0 4.4138919702155075
4640 693653  5.0 4.621562175854149
4640 2344955  3.0 2.7180613235151143
4640 161313  5.0 3.9211387547914027
4640 1541780  3.0 4.402245988464814
4640 2409280  4.0 4.253885886055837
4640 2356552  5.0 3.8255424312621416
4640 1503661  3.0 3.4640764026584745
4640 1381413  4.0 4.113121841807116
4640 2437320  5.0 4.574978171882553
4640 35224  3.0 3.712511272780235
4640 586456  4.0 3.999892614877693
4640 2468774  3.0 3.1742324324054842
4640 1562074  5.0 4.485493428738055
4640 2396089  3.0 4.056680779945161
4640 455285  4.0 3.7228486785951667
4640 2380603  4.0 3.6138216010933726
4640 2376301  5.0 4.89529500493686
4640 1149153  5.0 4.94525435492379
4640 1791615  5.0 3.532438654668459
4640 1022254  5.0 4.191755980828818
4640 2364027  3.0 4.254978057873364
4640 1700597  5.0 3.7280374468694073
4640 1062804  3.0 3.6203210013862033
4640 2552371  5.0 3.3887586167578125
4640 1296636  5.0 4.650563685654789
4640 1825773  4.0 3.834450362138286
4640 553908  3.0 3.93783182064078
4640 2596404  4.0 3.7883005762591995
4640 1733779  4.0 3.8288030544510807
4640 780768  4.0 4.313228523045333
4640 2184621  4.0 3.6015184298701266
4640 2269475  5.0 4.647594832790062
4640 1392880  5.0 3.860546730049867
4640 440905  4.0 4.423782189972391
4640 155337  3.0 3.7852487317740384
4640 1697451  5.0 4.016432545486112
4640 1757916  3.0 3.940813236022945
4640 2336502  5.0 3.9584141125886894
4640 2021092  4.0 4.145145815155677
4640 2161938  3.0 3.5100622599093287
4640 2470844  5.0 4.321335892446074
4640 1054783  3.0 4.002528683595783
4640 1769985  4.0 4.10180147233404
4640 1407388  5.0 3.1615427228077366
4640 2015780  5.0 3.8662120727485236
4640 669340  5.0 4.276238786077329
4640 517342  5.0 4.080608162206476
4640 1661344  5.0 4.620719750543575
4640 363195  5.0 4.025305868105198
4640 2063104  3.0 4.091242925578984
4640 2443086  5.0 4.654242013829876
4640 1477154  4.0 4.307322845345756
4640 467885  4.0 3.5179637662723193
4640 452873  4.0 3.6986871329631477
4640 1110164  4.0 3.5564775039635954
4640 1460170  4.0 3.890898391095323
4640 594244  4.0 4.002362055864176
4640 951697  5.0 4.282328633580848
4640 1759015  4.0 3.5757967437227913
4640 2350141  3.0 3.998787718866271
4640 1558180  5.0 3.843585299691691
4640 1000410  3.0 3.668715459089893
4640 1675138  5.0 4.270724900677806
4640 1935856  3.0 3.9888438607695105
4640 1232251  3.0 4.135656450341456
4640 129175  5.0 4.478761900475779
4640 296307  4.0 4.509438873822727
4640 611718  3.0 3.7801080025281117
4640 167759  3.0 4.1852789569521
4640 942568  4.0 3.6339003619704973
4640 1293245  3.0 3.869838367936536
4640 827805  5.0 4.3040003124295305
4640 769719  4.0 3.3669503403748817
4640 272222  4.0 3.589160011144696
4640 2398013  3.0 3.6269841655610326
4640 1767524  4.0 4.066500607079376
4640 161767  4.0 4.356606386928756
4640 359835  4.0 3.869199870754603
4640 716577  3.0 3.8816238830286283
4640 816025  3.0 3.438797963814237
4640 1130956  5.0 3.3171755690983407
4640 1932325  4.0 3.8164546412872244
4640 1921654  4.0 4.09137952462522
4640 2086784  4.0 3.7083508354471593
4640 1799557  4.0 3.5395543876105373
4640 996577  5.0 4.192369562166691
4640 1926272  4.0 4.056558156992119
4640 1986937  3.0 3.485259590191278
4640 1859991  5.0 4.1624730752494505
4640 826722  5.0 4.056728420008233
4640 76916  3.0 3.7290741615279925
4640 1670876  4.0 4.722267794153163
4640 2219709  4.0 4.216593325121793
4640 2072858  4.0 3.826761069011444
4640 2484963  5.0 4.186584538638828
4640 1524307  4.0 4.036472891195399
4640 2102685  4.0 3.662654682992713
4640 1312412  5.0 4.071419981080264
4640 721771  3.0 3.9017004398359774
4640 2396327  4.0 4.218766451659506
4640 1117207  5.0 5.008842470403167
4640 2338072  4.0 3.856986559136005
4640 868600  4.0 3.6268255481349994
4640 2474839  4.0 3.803072546357707
4640 1034831  5.0 3.7487539507511607
4640 416384  4.0 3.5474479880711334
4640 2108623  5.0 4.2116788238866025
4640 485931  3.0 3.901701810028416
4640 2427575  2.0 3.697520081414126
4640 1217933  5.0 3.934205983243315
4640 1800808  3.0 4.158636266435007
4640 1189286  4.0 3.919948760066438
4640 197482  5.0 3.9942347669467018
4640 2083295  5.0 4.628334656232482
4640 433713  5.0 3.6398696489077462
4640 2414529  5.0 3.832131364462219
4640 1640731  4.0 4.270552841416474
4640 2344901  5.0 3.7701199851799188
4640 1140580  4.0 4.433844081681139
4640 1665014  4.0 4.275425336242451
4640 616750  4.0 4.5217182459962775
4640 43193  3.0 4.031676824183425
4640 559753  4.0 3.6451261682736034
4640 934230  4.0 3.515190387415077
4640 1190829  5.0 3.7404675777087526
4640 1682916  4.0 3.962516656680356
4640 1395688  3.0 3.4056989271125087
4640 1617676  5.0 4.165185608509477
4640 1487437  3.0 3.9475142460902104
4640 2318608  4.0 4.35478999141615
4640 415441  4.0 4.474594101297992
4640 522180  4.0 3.5334871723299135
4640 2458372  5.0 4.50547900466311
4640 1779271  4.0 3.8238331604961338
4640 1019912  4.0 3.9233686673366304
4640 1685077  5.0 4.469702284801311
4640 1111598  4.0 3.8490636960330273
4640 1252345  4.0 3.68265708996893
4640 1093740  4.0 4.053664365801942
4640 1172510  4.0 3.531934420768144
4640 1939397  4.0 4.246570699708526
4640 266493  3.0 3.9392666901494398
4640 2630643  3.0 4.131419197663587
4640 324326  3.0 3.7196906285566618
4640 1217518  5.0 3.8010939479888157
4640 1247574  4.0 3.335732976207005
4640 1462133  4.0 4.0581312930568405
4640 1302495  4.0 3.9103180508649658
4640 1652307  5.0 4.463895221576952
4640 215911  3.0 3.637964081372113
4640 2300041  5.0 3.6946009725995186
4640 2419975  4.0 4.06640164306765
4640 917694  4.0 3.1919838149416595
4640 97611  3.0 4.05962536287175
4640 1331954  4.0 3.860197414854974
4640 525654  4.0 3.875590884270591
4640 1945029  3.0 3.846319856855734
4640 1519929  5.0 4.574449724255029
4640 2312452  3.0 3.066863952119166
4640 1150477  3.0 3.9618502988406097
4640 1672386  4.0 4.042883174934306
4640 65720  4.0 3.898194647414543
4640 20658  5.0 4.257107738770578
4640 1667949  3.0 3.6105807595484025
4640 1091995  5.0 3.8848995598393636
4640 776931  4.0 3.336858616521115
4640 752619  5.0 3.3787727305163022
4640 887393  5.0 4.484670004185783
4640 543225  4.0 4.378702793040274
4640 1663694  4.0 3.4526079058447396
4640 1159608  4.0 4.241811540195706
4640 506949  5.0 3.9482388476364774
4640 2101649  4.0 4.327943396442124
4640 1488400  4.0 3.4088249305346676
4640 554424  5.0 4.2908575049055875
4640 306664  4.0 4.107233875793689
4640 1674535  5.0 4.110876245054626
4640 1401861  5.0 4.656846450332258
4640 1305271  5.0 3.3967361966314584
4640 2012254  4.0 4.168938590784448
4640 994978  3.0 3.71870354125128
4640 586792  4.0 3.8330005457779333
4640 956739  3.0 4.0611534131625175
4640 2295369  3.0 3.2689463121280236
4640 2640757  1.0 3.8109821321736375
4640 1173289  4.0 3.0657739755873927
4640 2291170  5.0 4.341628132478814
4640 1884565  3.0 3.965962425192677
4640 1218163  3.0 4.155290492457697
4640 1917207  4.0 3.993940907087387
4640 267231  5.0 4.019143772794256
4640 2279326  5.0 4.21487248281958
4640 682866  2.0 3.836729956792157
4640 2181518  4.0 3.1981562807174693
4640 1648316  4.0 3.5620985108410324
4640 1366312  4.0 3.9587745381444805
4640 447521  5.0 3.7696128133475084
4640 2066337  4.0 4.4891668654573795
4640 1330487  3.0 3.559397747272391
4640 117396  3.0 4.347497572753368
4640 2195426  5.0 3.3095848982128544
4640 2221004  4.0 3.9148575166537185
4640 626118  4.0 4.055352621591498
4640 2270666  5.0 4.573573671584309
4640 811530  3.0 3.712957885563357
4640 2276962  5.0 4.415556512319473
4640 303846  4.0 3.853022616594216
4640 1460561  3.0 3.7561672760992044
4640 1652073  4.0 4.0686076317854285
4640 475734  4.0 3.9863968042150573
4640 86051  4.0 4.453651485692598
4640 322199  5.0 4.21257443757227
4640 1240555  4.0 3.718045261261593
4640 240748  5.0 4.090746204878961
4640 2575071  3.0 3.798499874761246
4640 1605937  5.0 3.9431625567553423
4640 424387  4.0 3.866576727108485
4640 1993420  3.0 3.679284469714648
4640 1567792  2.0 4.00259224496905
4640 1309775  4.0 3.859219699608485
4640 2057604  4.0 4.3599869359160195
4640 870885  3.0 3.2929452241818136
4640 549094  1.0 3.143004960250101
4640 674065  4.0 3.9054533750068448
4640 846786  4.0 4.06877407738979
4640 1769993  3.0 3.7896218931928223
4640 1566401  4.0 3.945449442467665
4640 866531  4.0 4.005392095480059
4640 1375494  5.0 4.108829887514046
4640 1022601  4.0 4.103952360387236
4640 1613373  4.0 4.292557853951399
4640 343139  4.0 4.156987277031604
4640 2019773  5.0 4.054405871463664
4640 1529851  4.0 3.075497429572817
4640 229439  5.0 3.8978419507228983
4640 32754  4.0 3.7600711483106455
4640 2313362  4.0 3.6867901857923817
4640 859047  5.0 3.2007896477342
4640 1336345  5.0 4.210509775135767
4640 906675  3.0 3.607458912625527
4640 247774  3.0 3.8932864819414528
4640 1070187  3.0 3.484878871583538
4640 1878354  4.0 3.6736357427363
4640 2070820  4.0 4.267183307697228
4640 669921  5.0 3.8595221786615874
4640 2452544  4.0 3.4919935307850327
4640 103738  4.0 4.035108712081396
4640 1655692  5.0 3.8485589167499823
4640 316527  4.0 4.315301092606819
4640 98676  3.0 4.085460836347762
4640 1686270  3.0 3.6577018880130168
4640 1844850  4.0 2.8518393632813597
4640 2405698  3.0 4.4838636311616735
4640 372239  4.0 4.066677997915856
4640 72398  3.0 3.6998359435434134
4640 522152  5.0 3.9090625921763675
4640 112790  4.0 3.9239331651902907
4640 1494367  4.0 3.7173505464637655
4640 2002097  4.0 3.8875535567895194
4640 969572  5.0 3.84482993383883
4640 485249  5.0 4.066081098304622
4640 1207462  5.0 4.583604172764058
4640 1299368  3.0 3.9629561503588784
4640 1924957  3.0 3.3313065856491373
4640 2359407  4.0 3.5988201325871714
4640 776127  3.0 3.6569130851632092
4640 1270358  3.0 3.8973423430682264
4640 1704416  3.0 3.227463160991635
4640 1385356  3.0 3.3754800113540253
4640 2553296  3.0 3.5777239182980765
4640 633738  4.0 3.811041659306561
4645 908205  2.0 2.50962769569083
4645 1544153  3.0 2.2823958942985527
4645 717542  2.0 2.526603278989493
4645 1473980  3.0 2.8972483629481953
4645 505317  3.0 2.58426934500358
4645 1179020  4.0 3.4188255358075983
4645 1995059  2.0 2.888408016413123
4647 2205314  2.0 3.022394868820167
4647 2457095  4.0 1.941399351738146
4647 3321  1.0 2.0132813136485237
4647 2009414  2.0 2.8763285734586663
4647 1114324  3.0 2.5986559099690036
4647 1726499  3.0 2.782402582795129
4685 326587  1.0 2.6940555395343133
4685 403531  5.0 4.205361767267425
4685 1830096  4.0 3.8940667994009783
4685 1474084  3.0 2.6951228271734626
4685 1603364  2.0 2.8211130636788737
4685 1681133  3.0 3.570912640769234
4685 592951  3.0 2.5863904237996738
4685 2473345  5.0 3.4756779208383852
4685 1179117  2.0 2.66258014797714
4685 1372463  4.0 2.9454562584972006
4685 371750  4.0 3.7509097460696443
4685 155342  1.0 2.3560771411331976
4685 1018901  4.0 3.1711866925778525
4685 1657342  3.0 3.8985005590829784
4685 1143911  2.0 3.4648101386413046
4685 1927580  1.0 2.329694975399134
4685 2196366  2.0 3.562632893038264
4685 1070629  1.0 2.9877072544161427
4685 1478013  4.0 2.739482824049366
4685 1879137  3.0 3.0630686399030056
4685 1389136  2.0 2.884043095270992
4685 1219621  1.0 2.5866522868159825
4685 1155404  2.0 2.5417874584074833
4685 1788346  1.0 1.0526324943629404
4685 2059620  2.0 2.8020171466730015
4685 2389101  4.0 3.3565739769242784
4685 2115174  2.0 3.540813847551643
4685 2088599  1.0 2.6290513233788473
4685 102028  4.0 3.7280058602503585
4685 1564978  4.0 4.256223495502037
4685 2062350  5.0 3.319730031655177
4685 1117198  3.0 2.7258351672299077
4685 2439493  3.0 1.1480039527825825
4685 328779  4.0 3.9611090552742088
4685 2368488  3.0 3.75515990239913
4685 2303856  2.0 2.3584881355900027
4685 1582769  3.0 3.4434764161850713
4685 1410683  2.0 2.387328093505638
4685 1090777  3.0 3.5072926233071446
4685 1308886  2.0 3.2745399176488394
4685 2155681  1.0 3.0461194193811334
4685 644453  4.0 3.128342539415199
4685 671612  1.0 2.8602930627172647
4685 2525160  4.0 3.6466362966116885
4685 2215040  3.0 4.438410126428186
4685 1201695  3.0 3.213088041549458
4685 151666  2.0 2.6828733020545665
4685 1717138  3.0 2.907594571001534
4685 1951741  1.0 2.0850991432639887
4685 252915  1.0 2.6161897573369957
4685 1526907  2.0 2.5366313149948736
4685 2026477  2.0 2.7323734809344944
4685 1431636  2.0 2.587383013210292
4685 2487480  3.0 3.0037884975081006
4685 2334642  3.0 3.5350503219328315
4685 347301  4.0 2.3339188529141253
4685 1966201  1.0 2.826306332169853
4685 1964735  3.0 4.087296986364324
4685 1701632  3.0 3.1929930230868164
4685 2251669  2.0 2.9166846934940676
4685 701962  4.0 2.5811294873593678
4685 1626727  2.0 2.5040080170676706
4685 2096942  1.0 2.319930864884947
4685 2390412  5.0 4.375423974402059
4685 2008504  4.0 3.183485717023941
4685 91701  3.0 3.0572235186664263
4685 1144950  5.0 3.5675294660682906
4685 1015048  1.0 2.937928931394676
4685 327366  3.0 3.82385887940116
4685 1950604  3.0 2.67611248799587
4685 2048191  1.0 2.658212256289584
4685 1413041  2.0 2.1357908243156176
4685 2321435  2.0 2.64587726500628
4685 245116  4.0 3.0966164081266006
4685 2549833  2.0 3.262981971311047
4685 1494821  3.0 2.8020720619826305
4685 1397843  2.0 3.394841939322349
4685 2286380  3.0 3.6718965949508853
4685 989327  2.0 2.8459425687124558
4685 2265316  4.0 3.2451621922982166
4685 1578321  1.0 3.808973575028384
4685 734544  3.0 3.10167220686406
4685 1381683  3.0 3.55472482850044
4685 1071510  3.0 3.4863270015384002
4685 9557  1.0 2.5504197051195945
4685 1077806  2.0 2.6768088595786077
4685 2132051  1.0 2.8036531982545814
4685 1190739  2.0 3.0199444259493937
4685 1409104  1.0 2.591051231751403
4685 114873  3.0 3.0422515981922813
4685 1871627  1.0 2.9955437977316928
4685 2393933  3.0 2.969624067284109
4685 2024800  3.0 2.979860014351114
4685 31724  3.0 3.336003734801643
4685 314418  4.0 3.223557855244903
4685 1269877  3.0 2.79539352534053
4685 936354  4.0 2.854934116952305
4685 552356  2.0 3.288949420865352
4685 1342657  3.0 3.0927980515110294
4685 2283695  1.0 2.526815082781563
4685 2105883  5.0 4.435373366686267
4685 1972488  2.0 2.261972983530681
4685 825637  3.0 2.6372769492165626
4685 1201678  3.0 3.157828845904559
4685 1596858  3.0 3.2648586754525475
4685 134640  4.0 2.731592530796706
4685 1483098  3.0 2.965217540296792
4685 1001660  5.0 3.4723204264557506
4685 437586  3.0 3.095122080146879
4685 952063  3.0 2.2087175847090217
4685 2365340  1.0 2.9250587320237793
4685 2624910  4.0 4.103381372966035
4685 1194911  3.0 2.6458311014977323
4685 824825  5.0 3.3918556299389886
4685 1204018  3.0 3.0126958097417496
4685 2385963  2.0 2.8601442909904047
4685 2252640  4.0 2.7728058227575985
4685 872221  5.0 4.507290302139762
4685 2203182  3.0 3.5434881301360615
4685 1617448  3.0 3.215106283273297
4685 1954061  3.0 2.973650108266954
4685 649585  1.0 2.1819278003433475
4685 1246115  1.0 3.1273246925937284
4685 2574484  2.0 3.2218193109349285
4685 2127108  3.0 2.8167596574194507
4685 917559  2.0 2.858623574032069
4685 2539534  5.0 3.0470381345722934
4685 1357428  5.0 3.1352483780390936
4685 2167628  4.0 3.915830987165054
4685 2618083  3.0 3.3096552429519206
4685 1719554  5.0 3.4367753708344337
4685 385371  3.0 3.1179846050055997
4685 2641824  2.0 2.8201142584553813
4685 1851758  4.0 3.8728279409774986
4685 305344  4.0 1.5238107702899297
4685 2203465  3.0 3.3889589926852692
4685 1198632  3.0 2.7883101977807394
4685 1838526  5.0 3.2086379607011573
4685 2332110  4.0 3.303220409257774
4685 536414  3.0 3.37407275371622
4685 409213  2.0 2.7547057246540043
4685 593252  1.0 2.688484700512397
4685 1860298  3.0 3.0645433495782197
4685 459145  3.0 2.9789382288315225
4685 2122285  4.0 4.447333592442193
4685 611360  3.0 3.9739251536021163
4685 2605004  4.0 3.383108390895064
4685 1668072  3.0 3.8826425053112836
4685 1849872  3.0 3.0700817990433933
4685 1683667  3.0 3.220812282753315
4685 2089287  4.0 3.0900763839772223
4685 105864  3.0 3.035613418532435
4685 2090917  4.0 3.5195963596603703
4685 550128  3.0 3.577132620835043
4685 1929765  2.0 2.9180396044692523
4685 1570738  5.0 3.9774275925603852
4685 200098  3.0 3.6065670390536293
4685 1415903  3.0 3.682868239641633
4685 2118461  5.0 3.8073413854622657
4685 1398222  3.0 3.5592419917776916
4685 2412878  3.0 2.916388367559892
4685 1584985  4.0 4.170613641437419
4685 993424  3.0 3.492190692827304
4685 935459  2.0 3.099411065078797
4685 936307  3.0 2.711634287755175
4685 1928698  4.0 3.661257265053206
4685 1229656  2.0 3.886432181189513
4685 158607  3.0 2.921335209780403
4685 2171187  1.0 2.910281279746516
4685 2490540  3.0 3.4200875773574375
4685 387633  4.0 2.4796428104405113
4685 2473261  4.0 3.125753114895319
